dataset,model,missing_rate,auc_roc,pr_auc,log_loss,brier_score,recall,f1_score
ld2,lightgbm,0.0,0.94824237120514,0.9041824364379144,0.19612427628494705,0.05377439484278142,0.7416089504528502,0.828818100625186
ld2,lightgbm,0.05,0.9311002689213908,0.8632905788380992,0.2616441341657438,0.07182178283266687,0.7181672882258924,0.7791907514450868
ld2,lightgbm,0.2,0.8810416171620958,0.7457330123617707,0.4274490311483237,0.11931392650868268,0.660628662759723,0.660628662759723
ld2,lightgbm,0.5,0.7533363667486377,0.5227228861570583,0.6625352023163747,0.1912057336686125,0.5205114544485882,0.4802162693536495
ld2,logreg,0.0,0.866816353943235,0.7182645230663495,0.34434418811388395,0.10374109913230652,0.5380927011188066,0.6298721546616776
ld2,logreg,0.05,0.8556508203113998,0.6966542649497789,0.3571262120905937,0.10795760308721336,0.5146510388918487,0.6113924050632912
ld2,logreg,0.2,0.8224274648119196,0.6435329898214982,0.3900433427649162,0.11845068166886805,0.4416622269579116,0.551930758988016
ld2,logreg,0.5,0.749646006781151,0.5366379590456543,0.45115352806800973,0.1390663374694915,0.28289824187533297,0.41035548686244205
ld3,xgboost,0.0,0.6650698743468676,0.3482202032861713,0.49814265966415405,0.16189949214458466,0.019697172718745812,0.037986950061373474
ld3,xgboost,0.05,0.6480672041223074,0.33103937246422743,0.5042409300804138,0.16394339501857758,0.013935414712582072,0.027154046997389034
ld3,xgboost,0.2,0.605551214500825,0.29626281627674544,0.5161657929420471,0.16790153086185455,0.003349859305909152,0.006652917304237909
ld3,xgboost,0.5,0.5502118138874744,0.2532459513488816,0.5264742374420166,0.17147038877010345,6.699718611818304e-05,0.0001339764201500536
ld3,lightgbm,0.0,0.6635382982383311,0.3438569655319536,0.4988290914723157,0.16219294510163337,0.017821251507436686,0.0344648872764965
ld3,lightgbm,0.05,0.6584207772290672,0.3386077895352504,0.5007935515448766,0.16285497691189185,0.012662468176336594,0.0247042676949219
ld3,lightgbm,0.2,0.6420408928804278,0.3243906858339787,0.5069897854717479,0.16490851188211994,0.004287819911563714,0.00850328838105361
ld3,lightgbm,0.5,0.6062956791458323,0.29038877900635857,0.5199497488484112,0.16924827838202933,0.00020099155835454912,0.0004018215912135012
ld3,logreg,0.0,0.6349101669166487,0.3155020439796021,0.5084921969693207,0.1654394493515038,0.00442181428380008,0.00876843363889996
ld3,logreg,0.05,0.6314273889396915,0.31180690947057277,0.5094810563212449,0.16579776001683946,0.003952833980972799,0.007841573631047316
ld3,logreg,0.2,0.6191065330895115,0.2991183729944599,0.5128743929030887,0.1669769676268602,0.0029478761892000535,0.005857294994675187
ld3,logreg,0.5,0.5925240111881463,0.27846923844222216,0.5187300561690071,0.16897422038512994,0.0013399437223636608,0.002670583522499666
cf1,xgboost,0.0,0.9067892844238743,0.44872986279506405,0.02808980830013752,0.006919304374605417,0.0,0.0
cf1,xgboost,0.05,0.9455618451162231,0.40796730413680277,0.030544469133019447,0.007133895065635443,0.0,0.0
