dataset,model,missing_rate,auc_roc,pr_auc,log_loss,brier_score,recall,f1_score
ld3,xgboost,0.05,0.6241871123723793,0.30269661290038724,0.5174323300244252,0.1686797466956823,0.04220822725445531,0.07602727327581005
ld3,xgboost,0.2,0.5670880863631929,0.25868874797926933,0.5658731282700825,0.1875185593345648,0.120058957523784,0.1679868760253105
ld3,xgboost,0.5,0.5292650665122882,0.23817361990296906,0.6929661682727755,0.24377693785318705,0.3549510920541337,0.2862391269112324
ld3,lightgbm,0.0,0.6611167843070769,0.34095612997836394,0.4996887533905959,0.1625048652925037,0.012662468176336594,0.0247042676949219
ld3,lightgbm,0.05,0.6559093828404035,0.33633460319915714,0.5015798405766437,0.16314171101230088,0.009312608870427442,0.018279852709100472
ld3,lightgbm,0.2,0.6396233882075895,0.3208582976915985,0.507635793965044,0.1651792774025281,0.0028808790030818705,0.005726080298288834
ld3,lightgbm,0.5,0.6039426835044439,0.2876264266713483,0.5209338959169401,0.1695762034024208,0.00026798874447273214,0.0005357621216180017
ld3,logreg,0.0,0.635164156931895,0.3160460541558886,0.5082940621825547,0.16537181303643417,0.00442181428380008,0.008767268862911796
ld3,logreg,0.05,0.6308020342156289,0.31130330234360964,0.5095663160017021,0.16582654609481817,0.0038858367948546163,0.007706105095329835
ld3,logreg,0.2,0.6164448099363204,0.2964142910092057,0.5136500440631085,0.16723584733977956,0.003416856492027335,0.006782816863944673
ld3,logreg,0.5,0.5871195562587859,0.27409846497846685,0.5201425747364372,0.1694427766714617,0.001607932466836393,0.003199573390214638
cf1,tabfm,0.0,0.923521618692039,0.8154221993878958,0.014838733116192757,0.0033136369940781054,0.6086956521739131,0.717948717948718
cf1,tabfm,0.05,0.9921370933053457,0.8028621390076497,0.014503327980836598,0.003570180261439429,0.5652173913043478,0.6842105263157895
cf1,tabfm,0.2,0.9786307874950533,0.7696845956046209,0.017462983398505875,0.004025006100598052,0.4782608695652174,0.6285714285714286
cf1,tabfm,0.5,0.9462672700056777,0.602905920728205,0.029712825799015866,0.006957488411242585,0.043478260869565216,0.08333333333333333
cf1,sap_rpt,0.0,0.949329846355018,0.7527502098656093,0.02281752085246576,0.005739019715577991,0.08695652173913043,0.16
cf1,sap_rpt,0.05,0.9626468918291151,0.6123807914438619,0.026763319918927664,0.006101306718751211,0.08695652173913043,0.16
cf1,sap_rpt,0.2,0.9506546687083842,0.5029928030263071,0.04608184186975438,0.007847292098907124,0.13043478260869565,0.23076923076923078
cf1,sap_rpt,0.5,0.8456926068030488,0.17552393086114015,0.14701528041944203,0.028129178714311247,0.08695652173913043,0.15384615384615385
cf1,xgboost,0.0,0.9215601933896526,0.6336503382632312,0.02785350783332453,0.0055173253336393184,0.34782608695652173,0.48484848484848486
cf1,xgboost,0.05,0.9319695118803875,0.5117501737094997,0.030299190982907308,0.00664064933991568,0.34782608695652173,0.4444444444444444
cf1,xgboost,0.2,0.9295091275098503,0.4053419677503032,0.05350259265796903,0.013707196265097189,0.43478260869565216,0.3076923076923077
cf1,xgboost,0.5,0.8737977667280329,0.07952024459030403,0.5763113095489709,0.17571586520897137,0.8260869565217391,0.05891472868217054
cf1,lightgbm,0.0,0.9238485229091032,0.7207371535177296,0.044393627573274634,0.0045259943402688255,0.4782608695652174,0.6470588235294118
cf1,lightgbm,0.05,0.8921216083687479,0.6929700390239047,0.048794147691816725,0.004627917522514233,0.43478260869565216,0.6060606060606061
cf1,lightgbm,0.2,0.8924485125858123,0.6434082464395188,0.059426799065356535,0.005929656747556558,0.2608695652173913,0.41379310344827586
cf1,lightgbm,0.5,0.8776001789370451,0.4570605337934505,0.09984532301093119,0.008509885576205693,0.043478260869565216,0.08333333333333333
cf1,logreg,0.0,0.9564529171900001,0.7593142864863318,0.01718884927037787,0.0038401481085106777,0.5652173913043478,0.7027027027027027
cf1,logreg,0.05,0.9614597133566181,0.7222853370441715,0.018666079694518976,0.00426576162363409,0.4782608695652174,0.6285714285714286
cf1,logreg,0.2,0.9556442593898935,0.7216745166848841,0.02029513638933374,0.004730852282995856,0.34782608695652173,0.5
cf1,logreg,0.5,0.9414325286901465,0.4508117389973375,0.03739417979268272,0.007225105481436592,0.13043478260869565,0.23076923076923078
cf2,xgboost,0.0,0.7124742268041238,0.14244219113040452,0.23345788196364115,0.05602306843516153,0.0,0.0
cf2,xgboost,0.05,0.7046259582342056,0.12733734496296523,0.2435863386243922,0.057010003219451315,0.0,0.0
cf2,xgboost,0.2,0.6452286545070051,0.10420216560622059,0.27542276961600665,0.05822825068051111,0.0,0.0
cf2,xgboost,0.5,0.5529315358181338,0.07233205156409483,0.3224123211302882,0.05960003297875635,0.0,0.0
cf2,lightgbm,0.0,0.6996087761036215,0.1375946665737266,0.27981884787138883,0.05784838275266404,0.0,0.0
cf2,lightgbm,0.05,0.6908141686492202,0.1294951496199676,0.2861563769937892,0.05821213477335159,0.0,0.0
cf2,lightgbm,0.2,0.6546153846153846,0.1225169133525838,0.3059112663789229,0.05854858321701041,0.0,0.0
cf2,lightgbm,0.5,0.5958313507798043,0.11146272918659927,0.34169795884467447,0.05906934395602082,0.0,0.0
cf2,logreg,0.0,0.7199973565952947,0.15095433039471276,0.21761670738477984,0.05510305363541224,0.00641025641025641,0.0125
cf2,logreg,0.05,0.6911022997620936,0.1274027763816021,0.2267282232560332,0.057268623877115774,0.01282051282051282,0.024096385542168676
cf2,logreg,0.2,0.6348559344435634,0.10034152926359276,0.25779843956417997,0.06422983610286981,0.05128205128205128,0.08247422680412371
cf2,logreg,0.5,0.5733967750462595,0.0748306643506956,0.27974605501675326,0.06912893558426224,0.019230769230769232,0.02912621359223301
cc1,tabfm,0.0,0.6649743625317216,0.35795726179204646,0.5011120510596334,0.16347904845300706,0.0447427293064877,0.08196721311475409
cc1,tabfm,0.05,0.6600838781656637,0.35818782852284153,0.5024022831286143,0.16376041015709375,0.04697986577181208,0.0860655737704918
cc1,tabfm,0.2,0.6524959679517195,0.3512398886059962,0.504962676278102,0.1645836271842217,0.04697986577181208,0.08695652173913043
cc1,tabfm,0.5,0.6142059610726693,0.30962885129359086,0.5226047876469107,0.1709723003533894,0.024608501118568233,0.046413502109704644
cc1,sap_rpt,0.0,0.6600072837001197,0.36653029826429506,0.5033674994613303,0.16397964423738787,0.053691275167785234,0.09896907216494845
cc1,sap_rpt,0.05,0.6358431749995666,0.34451716201636295,0.513757022176018,0.16778011685652428,0.04697986577181208,0.08731808731808732
cc1,sap_rpt,0.2,0.631185364387331,0.3291251479445412,0.5282546061076493,0.17324356216570674,0.017897091722595078,0.034782608695652174
cc1,sap_rpt,0.5,0.5771566400175734,0.2723700745263929,0.5518695938090734,0.18247386535380083,0.0,0.0
cc1,xgboost,0.0,0.63265800137581,0.32155907272399153,0.5295843772153651,0.17312041250442786,0.10514541387024609,0.16376306620209058
cc1,xgboost,0.05,0.6278657891542238,0.3154504680516005,0.5374236071152879,0.17646631511179978,0.12080536912751678,0.17970049916805325
cc1,xgboost,0.2,0.6110561943244947,0.28480908818699113,0.5708018270116804,0.19126588536554878,0.15436241610738255,0.1977077363896848
cc1,xgboost,0.5,0.566205076623369,0.2559911247132999,0.6117998610921741,0.2072482409505358,0.1767337807606264,0.21293800539083557
