dataset,model,auc_roc,pr_auc,log_loss,brier_score,recall,f1_score,fit_seconds,fit_peak_memory_mb,predict_seconds,predict_peak_memory_mb,best_threshold,min_expected_cost,cost_at_naive_0.5_threshold,calibration_predicted,calibration_observed,fairness_protected_attribute,fairness_privileged_group,fairness_unprivileged_group,fairness_selection_rate_privileged,fairness_selection_rate_unprivileged,fairness_disparate_impact_ratio,fairness_equalized_odds_gap
ld1,sap_rpt,0.9801623838620575,0.8812717385722012,0.10455974270452986,0.030714860379662305,0.6043956043956044,0.7534246575342466,0.0011114349999843398,0.02394390106201172,3.536741371000062,2.815164566040039,0.12,0.09405940594059406,0.1782178217821782,"[0.00028413824662439394, 0.0008124716886512861, 0.0015239918807355484, 0.0026172402033600773, 0.0045848331727677645, 0.008091494205896513, 0.01473548378574081, 0.030968453569134864, 0.09835892454674929, 0.5575003888052289]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0297029702970297, 0.1485148514851485, 0.7227722772277227]",,,,,,,
ld1,xgboost,0.9143120209496707,0.7688273019906547,0.1588946211748589,0.04010990489763454,0.4835164835164835,0.6470588235294118,0.303768183000102,0.021813392639160156,0.006579563000286726,0.02017974853515625,0.09999999999999999,0.15247524752475247,0.23366336633663368,"[0.0006716654004614412, 0.0017398167124921733, 0.0031945272994292253, 0.004813787425951202, 0.007184293577539744, 0.010952315496114811, 0.016138880246199003, 0.02932169614820787, 0.06041274367287607, 0.5013372311645216]","[0.009900990099009901, 0.009900990099009901, 0.0, 0.019801980198019802, 0.019801980198019802, 0.0297029702970297, 0.0297029702970297, 0.019801980198019802, 0.09900990099009901, 0.6633663366336634]",,,,,,,
ld1,lightgbm,0.9187482810986619,0.7840082770668066,0.20991305997900372,0.04134876360467794,0.5054945054945055,0.6618705035971223,0.33220003099995665,3.0582427978515625,0.024846696999702544,0.033112525939941406,0.03,0.1495049504950495,0.22475247524752476,"[9.893416822743833e-06, 3.498656407466235e-05, 8.452739969733042e-05, 0.0001633774918497194, 0.0003014612553451473, 0.0005361074677350541, 0.0010779510623653004, 0.0024229929854611785, 0.009636537448355484, 0.5064818823495747]","[0.0, 0.009900990099009901, 0.019801980198019802, 0.0, 0.0297029702970297, 0.039603960396039604, 0.019801980198019802, 0.009900990099009901, 0.09900990099009901, 0.6732673267326733]",,,,,,,
ld1,logreg,0.8101615468318406,0.52238393883262,0.22267033666421512,0.059021212468572906,0.25274725274725274,0.39316239316239315,0.053226617999825976,0.6897106170654297,0.019035362999602512,0.36591243743896484,0.17,0.26633663366336635,0.33960396039603963,"[0.009665985262572849, 0.019520186830253472, 0.027923828348212727, 0.03455102832400608, 0.04316674197905657, 0.05667058525950781, 0.07385382251742133, 0.09612088107334311, 0.13402935628796434, 0.40582493109851603]","[0.009900990099009901, 0.0297029702970297, 0.009900990099009901, 0.019801980198019802, 0.04950495049504951, 0.0594059405940594, 0.1188118811881188, 0.0891089108910891, 0.04950495049504951, 0.46534653465346537]",,,,,,,
ld2,sap_rpt,0.9068071743577761,0.8423869528779668,0.26140747893194477,0.07340629850549016,0.6611614278103356,0.7669962917181706,0.0017635289996178471,0.17575931549072266,18.907214561000274,2.9484663009643555,0.24000000000000002,0.3307728119180633,0.38384543761638734,"[0.009791533388251568, 0.0180430626431621, 0.02574587917352167, 0.03571833354638883, 0.04908808463274739, 0.06557675913010999, 0.09269128087582772, 0.17579026829898012, 0.574387214826344, 0.9712230514648349]","[0.015116279069767442, 0.023282887077997673, 0.04190919674039581, 0.050058207217694994, 0.0686046511627907, 0.08741258741258741, 0.14551804423748546, 0.16414435389988358, 0.6041909196740396, 0.9837209302325581]",,,,,,,
ld2,xgboost,0.9450499065578498,0.8991823879638313,0.1968633502166649,0.05497494017889434,0.715503462972829,0.8226646248085758,0.574869721000141,0.17365169525146484,0.04396117199985383,0.13586807250976562,0.17,0.25151303538175046,0.3159916201117318,"[0.0022889011328177645, 0.009292015259406759, 0.021076831464656783, 0.034819744540350264, 0.05218179490551682, 0.07543010268104507, 0.11275825992972525, 0.1874145099912728, 0.6538810344874789, 0.9916566891032595]","[0.0, 0.011641443538998836, 0.01629802095459837, 0.037252619324796274, 0.033760186263096625, 0.0710128055878929, 0.12223515715948778, 0.19324796274738068, 0.6984866123399301, 1.0]",,,,,,,
ld2,lightgbm,0.9451284527082753,0.8983220494375033,0.19467392760681118,0.05482593446288121,0.7165689930740543,0.8226299694189603,0.5645670290000453,3.1846418380737305,0.172231962999831,0.26448917388916016,0.16,0.25465549348230915,0.31517690875232773,"[0.0017141385340109984, 0.008172108660751487, 0.018718733720176163, 0.03245799582243909, 0.04832369913171373, 0.0695764022112199, 0.10422349439836093, 0.1767888384036815, 0.6817833389108331, 0.9925058959367713]","[0.0, 0.004656577415599534, 0.024447031431897557, 0.024447031431897557, 0.050058207217694994, 0.06984866123399301, 0.12223515715948778, 0.1909196740395809, 0.6984866123399301, 0.9988372093023256]",,,,,,,
ld2,logreg,0.8667832693526013,0.7201273547197197,0.34377330066847755,0.10342536352012524,0.5418220564730953,0.6324626865671642,0.816819778000081,8.077130317687988,0.054702179999821965,3.8550710678100586,0.26,0.3898975791433892,0.5379422718808193,"[0.009541807744363215, 0.02215213482223814, 0.03619509235851674, 0.05520606649375647, 0.0820756065292907, 0.11970882147516572, 0.18153401598380603, 0.29882037050441806, 0.5197411992038642, 0.8280881984208532]","[0.013953488372093023, 0.03608847497089639, 0.0570430733410943, 0.08381839348079162, 0.08032596041909197, 0.08614668218859138, 0.16065192083818394, 0.27473806752037255, 0.5413271245634459, 0.85]",,,,,,,
ld3,sap_rpt,0.6234929667797092,0.30573378452155686,0.5131568918084716,0.16708299974996102,6.699718611818304e-05,0.00013398539559188047,0.0020208869996167778,1.3584966659545898,407.276094889,41.190040588378906,0.16,0.7186908703878903,1.103136825922422,"[0.0962290936587999, 0.12443981218642955, 0.14597328546578947, 0.165944853191913, 0.18527902505749064, 0.2043067486719892, 0.22338310031871486, 0.24391458521088405, 0.2675940294590431, 0.31019717266801017]","[0.1065464755430767, 0.13233771994676918, 0.16124741353827962, 0.19059588939819608, 0.2055563765331757, 0.22811945594322885, 0.24789356984478936, 0.2824833702882483, 0.2997190595889398, 0.35195861049519583]",,,,,,,
ld3,xgboost,0.6620319334395701,0.3435269897644452,0.49937407806594486,0.16233718478110573,0.016883290901782127,0.032686944678643234,6.047619661999761,1.356389045715332,0.36784645200032173,1.0369911193847656,0.16,0.6786157757805109,1.0881474692526016,"[0.07056709731401048, 0.11149714761717834, 0.1400332294915605, 0.16665635687986963, 0.19464238787129115, 0.22196942468484243, 0.25021372028113753, 0.28085867832170447, 0.31885882738512356, 0.4037326132687303]","[0.07597930524759793, 0.11483890038427431, 0.14384979302188056, 0.16839148432879952, 0.19467849223946784, 0.22113821138211381, 0.2640449438202247, 0.29371766444937175, 0.32313377679231337, 0.4066518847006652]",,,,,,,
